,Worker,Job Profile,Department,Cross Appointments,AffList
0,David Del Rey Fernandez,Assistant Professor,Applied Mathematics,,['CCMIC']
1,Giang Tran,Assistant Professor,Applied Mathematics,,[]
2,Henry Shum,Assistant Professor,Applied Mathematics,,[]
3,Roberto Guglielmi,Assistant Professor,Applied Mathematics,,['Climate']
4,Eduardo Martin-Martinez,Associate Professor,Applied Mathematics,PHYS,['WCA']
5,Florian Girelli,Associate Professor,Applied Mathematics,,[]
6,Joseph Emerson,Associate Professor,Applied Mathematics,,['IQC']
7,Jun Liu,Associate Professor,Applied Mathematics,,['WAT.AI']
8,Matthew Scott,Associate Professor,Applied Mathematics,BIOL,"['MICRO', 'CBB']"
9,Michael Waite,Associate Professor,Applied Mathematics,,"['Water', 'Climate']"
10,Sander Rhebergen,Associate Professor,Applied Mathematics,,[]
14,Achim Kempf,Professor,Applied Mathematics,,"['WAT.AI', 'WCA']"
15,Anita Layton,Professor,Applied Mathematics,"CS, BIOL, CHEMENG","['WIN', 'CBB']"
16,Brian Ingalls,Professor,Applied Mathematics,BIOL,"['MICRO', 'CPI', 'CBB']"
17,Christopher Bauch,Professor,Applied Mathematics,,[]
18,Edward Vrscay,Professor,Applied Mathematics,,[]
19,Francis Poulin,Professor,Applied Mathematics,PHYS,"['Water', 'Climate', 'WICI']"
20,Hans De Sterck,Professor,Applied Mathematics,,"['WAT.AI', 'Climate', 'WICI', 'CCMIC']"
21,Kevin Lamb,Professor,Applied Mathematics,,"['Water', 'Climate']"
22,Kirsten Morris,Professor,Applied Mathematics,,['WAT.AI']
23,Lilia Krivodonova,Professor,Applied Mathematics,,[]
24,Marek Stastna,Professor,Applied Mathematics,,"['Water', 'Climate', 'WICI']"
25,Mohammad Kohandel,Professor,Applied Mathematics,,"['WAT.AI', 'WIN', 'CBB']"
26,Navaratnam Sri Namachchivaya,Professor,Applied Mathematics,,[]
27,Sivabal Sivaloganathan,Professor,Applied Mathematics,,['CBB']
28,Sue Ann Campbell,Professor,Applied Mathematics,,"['CPI', 'CCMIC']"
29,Xinzhi Liu,Professor,Applied Mathematics,,[]
30,Zoran Miskovic,Professor,Applied Mathematics,,['WIN']
31,Conrad Hewitt,Associate Professor,Centre for Education in Math and Computing,,[]
46,Serge D'Alessio,Professor,Centre for Education in Math and Computing,,"['Water', 'CCMIC']"
47,Ali Mashtizadeh,Assistant Professor,Cheriton School of Computer Science,,['CTN']
48,Chengnian Sun,Assistant Professor,Cheriton School of Computer Science,,['WAT.AI']
49,Diogo Barradas,Assistant Professor,Cheriton School of Computer Science,,['CTN']
50,Gautam Kamath,Assistant Professor,Cheriton School of Computer Science,,['CTN']
51,Hongyang Zhang,Assistant Professor,Cheriton School of Computer Science,,[]
52,Jian Zhao,Assistant Professor,Cheriton School of Computer Science,,['WAT.AI']
53,Kimon Fountoulakis,Assistant Professor,Cheriton School of Computer Science,,['CCMIC']
54,Meng Xu,Assistant Professor,Cheriton School of Computer Science,,['CTN']
