,Worker,Job Profile,Department,Cross Appointments,IQC,CAMJ,CPTT,Climate,IPR,WCA,CTN,Game,WAT.AI,GHPI,WISA,MICRO,WISE,CCMIC,CPI,WICI,WIN,Water,CBB
0,David Del Rey Fernandez,Assistant Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1,Giang Tran,Assistant Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,Henry Shum,Assistant Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,Roberto Guglielmi,Assistant Professor,Applied Mathematics,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4,Eduardo Martin-Martinez,Associate Professor,Applied Mathematics,PHYS,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,Florian Girelli,Associate Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Joseph Emerson,Associate Professor,Applied Mathematics,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,Jun Liu,Associate Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
8,Matthew Scott,Associate Professor,Applied Mathematics,BIOL,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
9,Michael Waite,Associate Professor,Applied Mathematics,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
10,Sander Rhebergen,Associate Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
14,Achim Kempf,Professor,Applied Mathematics,,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
15,Anita Layton,Professor,Applied Mathematics,"CS, BIOL, CHEMENG",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
16,Brian Ingalls,Professor,Applied Mathematics,BIOL,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
17,Christopher Bauch,Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,Edward Vrscay,Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,Francis Poulin,Professor,Applied Mathematics,PHYS,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
20,Hans De Sterck,Professor,Applied Mathematics,,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
21,Kevin Lamb,Professor,Applied Mathematics,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
22,Kirsten Morris,Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
23,Lilia Krivodonova,Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,Marek Stastna,Professor,Applied Mathematics,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
25,Mohammad Kohandel,Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True
26,Navaratnam Sri Namachchivaya,Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,Sivabal Sivaloganathan,Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
28,Sue Ann Campbell,Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
29,Xinzhi Liu,Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
30,Zoran Miskovic,Professor,Applied Mathematics,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
31,Conrad Hewitt,Associate Professor,Centre for Education in Math and Computing,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
46,Serge D'Alessio,Professor,Centre for Education in Math and Computing,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
47,Ali Mashtizadeh,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
48,Chengnian Sun,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
49,Diogo Barradas,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
50,Gautam Kamath,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
51,Hongyang Zhang,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
52,Jian Zhao,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
53,Kimon Fountoulakis,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
54,Meng Xu,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
55,Mina Tahmasbi Arashloo,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,Mohammad Hajiabadi,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
57,Rafael Mendes de Oliveira,Assistant Professor,Cheriton School of Computer Science,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,Shalev Ben-David,Assistant Professor,Cheriton School of Computer Science,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
